ESO CLASS;FN FRAME;FN LU;PWN SS ID;;;;;;;;
Arriving;Vehicle_landing;set_down.v;201979901;;;;;;;;
Arriving;Vehicle_landing;touch_down;201979702;;;;;;;;
Attacking;Attack;airstrike.n;_;;;;;;;;
Attacking;Attack;ambush.n;101246926;;;;;;;;
Attacking;Attack;ambush.v;201142203;;;;;;;;
Attacking;Attack;assail.v;201119169;201120069;200862683;;;;;;
Attacking;Attack;assailant.n;_;;;;;;;;
Attacking;Attack;assault.n;100767826;100773402;100974444;;;;;;
Attacking;Attack;assault.v;200862683;201120069;202567519;;;;;;
Attacking;Attack;attack.n;100773814;100941140;100972621;101220619;106711159;113435548;;;
Attacking;Attack;attack.v;200019792;200862683;201118449;201119169;201120069;;;;
Attacking;Attack;bomb.v;201131902;;;;;;;;
Attacking;Attack;bombardment.n;100978413;100987863;;;;;;;
Attacking;Attack;bombing.n;100978413;100979742;;;;;;;
Attacking;Attack;charge.n;100974762;;;;;;;;
Attacking;Attack;charge.v;201121719;;;;;;;;
Attacking;Attack;drive-by.n;_;;;;;;;;
Attacking;Attack;fall_upon.v;_;;;;;;;;
Attacking;Attack;fire.n;100986938;;;;;;;;
Attacking;Attack;hit.v;201123887;201137138;201400044;202482425;;;;;
Attacking;Attack;incursion.n;100975452;;;;;;;;
Attacking;Attack;infiltrate.v;201913363;;;;;;;;
Attacking;Attack;infiltration.n;100976698;;;;;;;;
Attacking;Attack;jump.v;201121178;;;;;;;;
Attacking;Attack;lay_into.v;201242537;;;;;;;;
Attacking;Attack;offensive.a;301631386;;;;;;;;
Attacking;Attack;offensive.n;100980038;;;;;;;;
Attacking;Attack;onset.n;100972621;;;;;;;;
Attacking;Attack;onslaught.n;100972621;;;;;;;;
Attacking;Attack;raid.n;100976953;;;;;;;;
BeginningARelationship;bm:Forming_relationships;befriend;202588677;;;;;;;;
BeginningARelationship;bm:Forming_relationships;betroth;200886602;;;;;;;;
BeginningARelationship;bm:Forming_relationships;betrothal;101036778;;;;;;;;
BeginningARelationship;bm:Forming_relationships;engagement;107228211;;;;;;;;
BeginningARelationship;bm:Forming_relationships;marriage;101036996;113963970;;;;;;;
BeginningARelationship;bm:Forming_relationships;marry;202488834;202489456;;;;;;;
BeginningARelationship;bm:Forming_relationships;tie the knot;_;;;;;;;;
BeginningARelationship;bm:Forming_relationships;wed;202488834;202489456;;;;;;;
BeginningARelationship;bm:Forming_relationships;wedding;101036996;;;;;;;;
BeginningARelationship;bm:Forming_relationships;woo;202534492;;;;;;;;
BeingAtAPlace;Being_located;find.v;_;;;;;;;;
BeingAtAPlace;Being_located;lie.v;202690708;;;;;;;;
BeingAtAPlace;Being_located;located.a;302126430;;;;;;;;
BeingAtAPlace;Being_located;sit.v;202691214;;;;;;;;
BeingAtAPlace;Being_located;situated.a;302126430;;;;;;;;
BeingAtAPlace;Being_located;stand.v;202734488;;;;;;;;
BeingAtAPlace;Being_located;twenty.n;;;;;;;;;
BeingAtAPlace;Being_located;whereabouts.n;108683383;;;;;;;;
BeingAtAPlace;Presence;presence.n;101233802;113957601;;;;;;;
BeingAtAPlace;Presence;present.a;301846413;;;;;;;;
BeingAtAPlace;Presence;absence.n;_;;;;;;;;
BeingAtAPlace;Residence;bivouac.n;_;;;;;;;;
BeingAtAPlace;Residence;bivouac.v;202653996;;;;;;;;
BeingAtAPlace;Residence;camp.n;_;;;;;;;;
BeingAtAPlace;Residence;camp.v;202653996;;;;;;;;
BeingAtAPlace;Residence;camped.a;_;;;;;;;;
BeingAtAPlace;Residence;camper.n;_;;;;;;;;
BeingAtAPlace;Residence;dwell.v;202649830;;;;;;;;
BeingAtAPlace;Residence;dweller.n;_;;;;;;;;
BeingAtAPlace;Residence;inhabit.v;202649830;;;;;;;;
BeingAtAPlace;Residence;inhabitant.n;_;;;;;;;;
BeingAtAPlace;Residence;live.v;202649830;;;;;;;;
BeingAtAPlace;Residence;lodge.v;202652494;;;;;;;;
BeingAtAPlace;Residence;occupant.n;_;;;;;;;;
BeingAtAPlace;Residence;occupy.v;202648639;;;;;;;;
BeingAtAPlace;Residence;reside.v;202648639;202650552;;;;;;;
BeingAtAPlace;Residence;resident.n;_;;;;;;;;
BeingAtAPlace;Residence;room-mate.n;_;;;;;;;;
BeingAtAPlace;Residence;room.v;202656763;;;;;;;;
BeingAtAPlace;Residence;shack up.v;202651193;;;;;;;;
BeingAtAPlace;Residence;squat.v;202649712;;;;;;;;
BeingAtAPlace;Residence;squatter.n;_;;;;;;;;
BeingAtAPlace;Residence;stay.v;202637202;;;;;;;;
BeingAtAPlace;Residence;tenant.n;_;;;;;;;;
BeingAtAPlace;Temporary_stay;board.v;202656763;;;;;;;;
BeingAtAPlace;Temporary_stay;guest.v;_;;;;;;;;
BeingAtAPlace;Temporary_stay;lodge.v;202652494;;;;;;;;
BeingAtAPlace;Temporary_stay;overnight.v;_;;;;;;;;
BeingAtAPlace;Temporary_stay;quarter.v;_;;;;;;;;
BeingAtAPlace;Temporary_stay;room.v;202656763;;;;;;;;
BeingAtAPlace;Temporary_stay;sleep_over.v;202652729;;;;;;;;
BeingAtAPlace;Temporary_stay;stay_over.v;202652729;;;;;;;;
BeingAtAPlace;Temporary_stay;stay.n;101053617;;;;;;;;
BeingAtAPlace;Temporary_stay;stay.v;201857392;202637202;;;;;;;
BeingDamaged;bm:Being_operational;broken.a;300680156;;;;;;;;
BeingDamaged;bm:Being_operational;busted.a;300680156;;;;;;;;
BeingDamaged;bm:Being_operational;down.a;300833737;;;;;;;;
BeingDamaged;bm:Being_operational;downed.a;_;;;;;;;;
BeingEmployed;Being_employed;employ.n;113968092;;;;;;;;
BeingEmployed;Being_employed;clerk;202411802;;;;;;;;
BeingEmployed;Being_employed;employed.a;300863946;;;;;;;;
BeingEmployed;Being_employed;employment;113968092;;;;;;;;
BeingEmployed;Being_employed;farm out;_;;;;;;;;
BeingEmployed;Being_employed;job.n;100582388;;;;;;;;
BeingEmployed;Being_employed;*position.n;100586262;;;;;;;;
BeingEmployed;Being_employed;*stint.n;100720431;;;;;;;;
BeingEmployed;Being_employed;subcontract.v;202460883;;;;;;;;
BeingEmployed;Being_employed;temp.v;_;;;;;;;;
BeingEmployed;Being_employed;wait tables;_;;;;;;;;
BeingEmployed;Being_employed;work.n;100584367;;;;;;;;
BeingEmployed;Being_employed;work.v;202410855;;;;;;;;
BeingEmployed;Employing;commission.v;202475261;;;;;;;;
BeingEmployed;Employing;employ;202409412;;;;;;;;
BeingEmployed;Employing;*employee;110053808;;;;;;;;
BeingEmployed;Employing;*employer;110054657;;;;;;;;
BeingEmployed;Employing;employment;101217859;113968092;;;;;;;
BeingEmployed;Employing;personnel;_;;;;;;;;
BeingEmployed;Employing;staff.n;_;;;;;;;;
BeingEmployed;Employing;*worker;109632518;;;;;;;;
BeingEmployed/NOT;Being_employed;jobless.a;300865007;;;;;;;;
BeingEmployed/NOT;Being_employed;unemployed;300864693;;;;;;;;
BeingEmployed/NOT;Being_employed;unemployment;113968308;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;adultery.n;_;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;affair.n;113931889;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;affianced.a;_;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;befriend.v;202588677;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;betrothed.n;_;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;betrothed.a;300158110;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;cohabit.v;202651193;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;cohabitation.n;101054876;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;court.v;202534761;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;crush.n;_;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;date.v;202486232;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;engaged.a;_;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;engagement.n;_;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;estranged.a;_;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;familiar.a;_;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;friendship.n;113931145;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;marital.a;_;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;marriage.n;101036996;107989373;113963970;;;;;;
BeingInAPersonalRelationship;Personal_relationship;married.a;301481612;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;relationship.n;113928668;113780719;113928388;;;;;;
BeingInAPersonalRelationship;Personal_relationship;romance.n;113931436;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;seeing.v;202486232;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;sleep_(with).v;201426397;;;;;;;;
BeingInAPersonalRelationship;Personal_relationship;spousal;_;;;;;;;;
BeingInAPersonalRelationship/NOT;Personal_relationship;break_up.n;_;;;;;;;;
BeingInAPersonalRelationship/NOT;Personal_relationship;divorced.a;301482551;;;;;;;;
BeingInAPersonalRelationship/NOT;Personal_relationship;single.a;301482228;;;;;;;;
BeingInAPersonalRelationship/NOT;Personal_relationship;widow.v;110780284;;;;;;;;
BeingInAPersonalRelationship/NOT;Personal_relationship;widowed.a;301482865;;;;;;;;
BeingInExistence;Existence;exist;202603699;;;;;;;;
BeingInExistence;Existence;existence;113954253;;;;;;;;
BeingInExistence;Existence;real.a;_;;;;;;;;
BeingInExistence;Existence;remain.v;202637592;;;;;;;;
BeingInExistence;Existence;there be.v;_;;;;;;;;
BeingInUse;bm:Being_operational;function.n;_;;;;;;;;
BeingInUse;bm:Being_operational;functional.a;301091728;302124253;;;;;;;
BeingInUse;bm:Being_operational;in order.a;301931517;;;;;;;;
BeingInUse;bm:Being_operational;operational.a;302124253;;;;;;;;
BeingInUse;bm:Being_operational;work.v;201525666;;;;;;;;
BeingInUse;bm:Being_operational;working.a;301091728;;;;;;;;
BeingInUse;Using_resource;use;201158872;;;;;;;;
BeingInUse;Using;application;100036061;;;;;;;;
BeingInUse;Using;apply;201158872;;;;;;;;
BeingInUse;Using;avail oneself;_;;;;;;;;
BeingInUse;Using;employ;201158872;;;;;;;;
BeingInUse;Using;employment;100947128;;;;;;;;
BeingInUse;Using;exercise;201166093;;;;;;;;
BeingInUse;Using;operate;201224744;;;;;;;;
BeingInUse;Using;operation;100409211;114008806;;;;;;;
BeingInUse;Using;operational;300833018;302124253;;;;;;;
BeingInUse;Using;use.n;100947128;;;;;;;;
BeingInUse;Using;use.v;201158872;;;;;;;;
BeingInUse;Using;utilization;100947128;;;;;;;;
BeingInUse;Using;utilise;201158872;;;;;;;;
BeingLeader;Leadership;administer;202431971;;;;;;;;
BeingLeader;Leadership;administration;101124794;101135952;;;;;;;
BeingLeader;Leadership;authority;105196582;;;;;;;;
BeingLeader;Leadership;*chair;110468962;;;;;;;;
BeingLeader;Leadership;charge.n;_;;;;;;;;
BeingLeader;Leadership;command.v;200751887;202441022;;;;;;;
BeingLeader;Leadership;command.n;105197797;;;;;;;;
BeingLeader;Leadership;govern;202586619;;;;;;;;
BeingLeader;Leadership;government;101124794;;;;;;;;
BeingLeader;Leadership;head.v;202440244;;;;;;;;
BeingLeader;Leadership;lead;202440244;;;;;;;;
BeingLeader;Leadership;leadership;101256417;;;;;;;;
BeingLeader;Leadership;legislature;108163273;;;;;;;;
BeingLeader;Leadership;preside;202443609;;;;;;;;
BeingLeader;Leadership;regime;108050678;;;;;;;;
BeingLeader;Leadership;reign;202587375;;;;;;;;
BeingLeader;Leadership;rule;202586619;;;;;;;;
BeingLeader;Leadership;rule.n;114442933;115295416;;;;;;;
BeingLeader;Leadership;run;202443849;;;;;;;;
BeingLeader;Leadership;spearhead.v;202440608;;;;;;;;
BeingOperational;Being_operational;function.n;_;;;;;;;;
BeingOperational;Being_operational;functional.a;301091728;302124253;;;;;;;
BeingOperational;Being_operational;in order.a;301931517;;;;;;;;
BeingOperational;Being_operational;operational.a;302124253;;;;;;;;
BeingOperational;Being_operational;work.v;201525666;;;;;;;;
BeingOperational;Being_operational;working.a;301091728;;;;;;;;
BeingOperational/NOT;Being_operational;broken.a;300680156;;;;;;;;
BeingOperational/NOT;Being_operational;busted.a;300680156;;;;;;;;
BeingOperational/NOT;Being_operational;down.a;300833737;;;;;;;;
BeingOperational/NOT;Being_operational;downed.a;_;;;;;;;;
Borrowing;Borrowing;borrow;202324026;;;;;;;;
Buying;Commerce_buy;buy;202207206;;;;;;;;
Buying;Commerce_buy;purchase.n;100079018;;;;;;;;
Buying;Commerce_buy;purchase;202207206;;;;;;;;
ChangingShape;Reshaping;bend;201280014;202035919;;;;;;;
ChangingShape;Reshaping;crumple;200564857;201279186;;;;;;;
ChangingShape;Reshaping;crush;201593937;;;;;;;;
ChangingShape;Reshaping;curl;201223616;;;;;;;;
ChangingShape;Reshaping;deform;201280014;200140967;200476744;200477665;201350699;201584875;;;
ChangingShape;Reshaping;deformation;100404726;107358060;;;;;;;
ChangingShape;Reshaping;dent;201279631;;;;;;;;
ChangingShape;Reshaping;flatten;200463778;;;;;;;;
ChangingShape;Reshaping;fold;200564695;;;;;;;;
ChangingShape;Reshaping;form;200142191;200144850;;;;;;;
ChangingShape;Reshaping;launch;_;;;;;;;;
ChangingShape;Reshaping;mash;201593937;;;;;;;;
ChangingShape;Reshaping;mold;_;;;;;;;;
ChangingShape;Reshaping;pulp;200331713;;;;;;;;
ChangingShape;Reshaping;roll;200125289;201391280;;;;;;;
ChangingShape;Reshaping;scrunch;201278427;;;;;;;;
ChangingShape;Reshaping;shape;200142191;201659248;;;;;;;
ChangingShape;Reshaping;squash;201593937;;;;;;;;
ChangingShape;Reshaping;squish;_;;;;;;;;
ChangingShape;Reshaping;warp;200356954;;;;;;;;
ChangingShape;Manipulate_into_shape;coil;201523986;;;;;;;;
ChangingShape;Manipulate_into_shape;curl;201223616;201523986;;;;;;;
ChangingShape;Manipulate_into_shape;loop;201523986;;;;;;;;
ChangingShape;Manipulate_into_shape;mold;201659248;;;;;;;;
ChangingShape;Manipulate_into_shape;roll;200143204;;;;;;;;
ChangingShape;Manipulate_into_shape;twist;200143914;201280014;;;;;;;
ChangingShape;Manipulate_into_shape;wind;_;;;;;;;;
Collaboration;Collaboration;affiliated.a;301973311;;;;;;;;
Collaboration;Collaboration;*associate.n;109816771;;;;;;;;
Collaboration;Collaboration;collaborate;202416278;;;;;;;;
Collaboration;Collaboration;collaboration;101205156;;;;;;;;
Collaboration;Collaboration;*collaborator;109935434;;;;;;;;
Collaboration;Collaboration;collude;200707624;;;;;;;;
Collaboration;Collaboration;collusion;_;;;;;;;;
Collaboration;Collaboration;*confederate.n;109761068;;;;;;;;
Collaboration;Collaboration;conspiracy.n;_;;;;;;;;
Collaboration;Collaboration;conspire;200707624;200706975;;;;;;;
Collaboration;Collaboration;cooperate;202416278;;;;;;;;
Collaboration;Collaboration;cooperation;101202904;100411384;;;;;;;
Collaboration;Collaboration;in league.a;302477691;;;;;;;;
Collaboration;Collaboration;in cahoots.a;_;;;;;;;;
Collaboration;Collaboration;jointly.adv;400197710;;;;;;;;
Collaboration;Collaboration;partner.v;202371684;;;;;;;;
Collaboration;Collaboration;*partner.n;109935434;110402417;;;;;;;
Collaboration;Collaboration;team up.v;201089285;;;;;;;;
Collaboration;Collaboration;together.adv;400116588;;;;;;;;
Collaboration;Collaboration;work together.v;_;;;;;;;;
Creating;Creating;assemle;201656788;;;;;;;;
Creating;Creating;create;201621555;;;;;;;;
Creating;Creating;form;201659248;;;;;;;;
Creating;Creating;formation;100237078;;;;;;;;
Creating;Creating;generate;201627355;;;;;;;;
Creating;Creating;issuance;_;;;;;;;;
Creating;Creating;issue.v;_;;;;;;;;
Creating;Creating;make;201653873;201654628;201621555;;;;;;
Creating;Creating;produce;201621555;201739814;;;;;;;
Creating;Creating;production;100912960;;;;;;;;
Creating;Creating;yield.v;_;;;;;;;;
Creating;Building;assemble;201656788;;;;;;;;
Creating;Building;assembly;100912001;;;;;;;;
Creating;Building;build;201654628;;;;;;;;
Creating;Building;construct;201653442;201654628;;;;;;;
Creating;Building;construction;100911048;;;;;;;;
Creating;Building;erect;201661243;;;;;;;;
Creating;Building;fashion.v;201658188;;;;;;;;
Creating;Building;fit together;_;;;;;;;;
Creating;Building;glue;_;;;;;;;;
Creating;Building;make;201621555;201653873;;;;;;;
Creating;Building;piece together;_;;;;;;;;
Creating;Building;put together;201656788;;;;;;;;
Creating;Building;raise;201661243;;;;;;;;
Creating;Building;weld;_;;;;;;;;
Creating;Manufacturing;assembly_line;_;;;;;;;;
Creating;Manufacturing;fabricate;201653442;;;;;;;;
Creating;Manufacturing;fabrication;100912001;100924825;;;;;;;
Creating;Manufacturing;industrial.a;_;;;;;;;;
Creating;Manufacturing;make;201621555;;;;;;;;
Creating;Manufacturing;*maker;108060446;110284064;;;;;;;
Creating;Manufacturing;manufacture.v;201653442;;;;;;;;
Creating;Manufacturing;manufacture.n;100923444;100924825;;;;;;;
Creating;Manufacturing;*manufacturer;108060446;110292316;;;;;;;
Creating;Manufacturing;manufacturing.n;100924825;;;;;;;;
Creating;Manufacturing;produce;201621555;;;;;;;;
Creating;Manufacturing;*producer;107328756;110292316;;;;;;;
Creating;Manufacturing;product;103748886;104007894;;;;;;;
Creating;Manufacturing;production;100913585;100912960;;;;;;;
Creating;Intentionally_create;create;201753788;201617192;201621555;201640207;201753788;201617192;;;
Creating;Intentionally_create;creation;100908492;;;;;;;;
Creating;Intentionally_create;develop;201738774;;;;;;;;
Creating;Intentionally_create;development;_;;;;;;;;
Creating;Intentionally_create;establish;201655505;200665476;;;;;;;
Creating;Intentionally_create;establishment;100237078;;;;;;;;
Creating;Intentionally_create;found.v;202427103;201647229;;;;;;;
Creating;Intentionally_create;generate;201627355;;;;;;;;
Creating;Intentionally_create;generation;_;;;;;;;;
Creating;Intentionally_create;make;200665476;201617192;201619014;201653873;201654628;202598483;;;
Creating;Intentionally_create;produce;201621555;201739814;201752495;;;;;;
Creating;Intentionally_create;production;100912960;100913585;;;;;;;
Creating;Intentionally_create;set up.v;201642924;201656788;201661243;202427103;;;;;
Creating;Intentionally_create;synthesis;_;;;;;;;;
Creating;Intentionally_create;synthesise;_;;;;;;;;
Damaging;Damaging;chip;201259458;201259691;;;;;;;
Damaging;Damaging;damage.v;200258857;;;;;;;;
Damaging;Damaging;damage.n;100403092;;;;;;;;
Damaging;Damaging;deface;201549905;;;;;;;;
Damaging;Damaging;dent;201279631;;;;;;;;
Damaging;Damaging;key.v;201520655;;;;;;;;
Damaging;Damaging;mar;200090708;200477941;;;;;;;
Damaging;Damaging;nick;201259141;201259005;;;;;;;
Damaging;Damaging;rend;201573276;;;;;;;;
Damaging;Damaging;rip;201573276;;;;;;;;
Damaging;Damaging;sabotage.v;202543607;;;;;;;;
Damaging;Damaging;score;_;;;;;;;;
Damaging;Damaging;scrape;201309143;;;;;;;;
Damaging;Damaging;scratch;201309143;;;;;;;;
Damaging;Damaging;tear;_;;;;;;;;
Damaging;Damaging;vandalise;201520454;;;;;;;;
Damaging;Damaging;vandalism;101249816;;;;;;;;
Damaging;Render_nonfunctional;break;200258665;200334996;200336260;200434374;201369758;;;;
Damaging;Render_nonfunctional;disable;200512186;;;;;;;;
Damaging;Render_nonfunctional;hose;_;;;;;;;;
Damaging;Render_nonfunctional;incapacitate;200512186;;;;;;;;
Damaging;Render_nonfunctional;knock out.v;200180602;;;;;;;;
Damaging;Render_nonfunctional;total.v;200259382;;;;;;;;
Decreasing;bm:Expansion;contract.v;200240571;201279474;200305109;;;;;;
Decreasing;bm:Expansion;contraction;100365471;107313241;;;;;;;
Decreasing;bm:Expansion;shrink;200152558;200240571;200241038;200241689;;;;;
Decreasing;bm:Proliferating_in_number;dwindle;200267681;;;;;;;;
Decreasing;bm:Cause_expansion;contraction;100365471;;;;;;;;
Decreasing;bm:Cause_expansion;narrow.v;200305109;;;;;;;;
Decreasing;bm:Cause_expansion;reduction;100351638;;;;;;;;
Decreasing;bm:Cause_expansion;shrink;200241038;;;;;;;;
Decreasing;bm:Cause_change_of_position_on_a_scale;curtail;_;;;;;;;;
Decreasing;bm:Cause_change_of_position_on_a_scale;cut.v;200429060;200429968;;;;;;;
Decreasing;bm:Cause_change_of_position_on_a_scale;cut.n;100352331;;;;;;;;
Decreasing;bm:Cause_change_of_position_on_a_scale;decrease;200151689;200441445;;;;;;;
Decreasing;bm:Cause_change_of_position_on_a_scale;diminish;200151689;;;;;;;;
Decreasing;bm:Cause_change_of_position_on_a_scale;drop;200432683;;;;;;;;
Decreasing;bm:Cause_change_of_position_on_a_scale;knock down.v;_;;;;;;;;
Decreasing;bm:Cause_change_of_position_on_a_scale;lower.v;200267855;200531489;201574923;;;;;;
Decreasing;bm:Cause_change_of_position_on_a_scale;reduce;200233203;200240131;200241038;200429060;202317836;;;;
Decreasing;bm:Cause_change_of_position_on_a_scale;reduction;100351638;;;;;;;;
Decreasing;bm:Cause_change_of_position_on_a_scale;slash;200430261;;;;;;;;
Decreasing;bm:Change_position_on_a_scale;contract;200240571;;;;;;;;
Decreasing;bm:Change_position_on_a_scale;contraction;100365471;;;;;;;;
Decreasing;bm:Change_position_on_a_scale;decline.v;200203866;200431826;201971603;;;;;;
Decreasing;bm:Change_position_on_a_scale;decline.n;113457378;;;;;;;;
Decreasing;bm:Change_position_on_a_scale;decrease.v;200151689;200441445;;;;;;;
Decreasing;bm:Change_position_on_a_scale;decrease.n;100351638;107355887;113458571;;;;;;
Decreasing;bm:Change_position_on_a_scale;depressed.a;301212867;;;;;;;;
Decreasing;bm:Change_position_on_a_scale;depression.n;_;;;;;;;;
Decreasing;bm:Change_position_on_a_scale;diminish;200151689;;;;;;;;
Decreasing;bm:Change_position_on_a_scale;dip;200432061;;;;;;;;
Decreasing;bm:Change_position_on_a_scale;drop;200432683;;;;;;;;
Decreasing;bm:Change_position_on_a_scale;dwindle;200267681;;;;;;;;
Decreasing;bm:Change_position_on_a_scale;fall.v;200151689;;;;;;;;
Decreasing;bm:Change_position_on_a_scale;fall.n;105111835;;;;;;;;
Decreasing;bm:Change_position_on_a_scale;lower.v;200267855;200531489;201574923;;;;;;
Decreasing;bm:Change_position_on_a_scale;plummet;201978199;;;;;;;;
Decreasing;bm:Change_position_on_a_scale;tumble.v;200433069;;;;;;;;
Decreasing;bm:Change_position_on_a_scale;tumble.n;_;;;;;;;;
Decreasing;bm:Change_of_quantity_of_possession;loose.v;_;;;;;;;;
Destroying;Cause_to_fragment;break apart;201562061;;;;;;;;
Destroying;Cause_to_fragment;break down;201370126;202041877;;;;;;;
Destroying;Cause_to_fragment;break up;200338071;201562061;;;;;;;
Destroying;Cause_to_fragment;break;200334186;200334996;200336260;201989053;202559395;;;;
Destroying;Cause_to_fragment;chip;201259458;;;;;;;;
Destroying;Cause_to_fragment;cleave;_;;;;;;;;
Destroying;Cause_to_fragment;dissect;_;;;;;;;;
Destroying;Cause_to_fragment;dissolve;200355803;;;;;;;;
Destroying;Cause_to_fragment;fracture;200335366;201621084;;;;;;;
Destroying;Cause_to_fragment;fragment;200338071;;;;;;;;
Destroying;Cause_to_fragment;rend;201573276;;;;;;;;
Destroying;Cause_to_fragment;rip up;201573891;;;;;;;;
Destroying;Cause_to_fragment;rip;201573276;;;;;;;;
Destroying;Cause_to_fragment;rive;201573276;;;;;;;;
Destroying;Cause_to_fragment;shatter;200333758;200333907;200334050;;;;;;
Destroying;Cause_to_fragment;shiver;_;;;;;;;;
Destroying;Cause_to_fragment;sliver;200337903;;;;;;;;
Destroying;Cause_to_fragment;shred;201573891;;;;;;;;
Destroying;Cause_to_fragment;smash;200334649;200335923;201566705;;;;;;
Destroying;Cause_to_fragment;snap;200337065;201573515;;;;;;;
Destroying;Cause_to_fragment;splinter;202469274;;;;;;;;
Destroying;Cause_to_fragment;split;_;;;;;;;;
Destroying;Cause_to_fragment;take apart;201572510;201657977;;;;;;;
Destroying;Cause_to_fragment;tear;201573515;;;;;;;;
Destroying;Cause_to_fragment;tear up;201573891;;;;;;;;
Destroying;Destroying;annihilate;200470701;;;;;;;;
Destroying;Destroying;annihilation;100218208;107330828;;;;;;;
Destroying;Destroying;blast;200336158;;;;;;;;
Destroying;Destroying;blow up;200306298;200306723;;;;;;;
Destroying;Destroying;demolish;201656458;;;;;;;;
Destroying;Destroying;demolition;101249483;107334490;;;;;;;
Destroying;Destroying;destroy;201564144;201619929;;;;;;;
Destroying;Destroying;destruction;100217014;107334490;;;;;;;
Destroying;Destroying;destructive.a;300586183;;;;;;;;
Destroying;Destroying;devastate;200388635;;;;;;;;
Destroying;Destroying;devastation;100217014;100967157;107335414;;;;;;
Destroying;Destroying;dismantle;201661804;;;;;;;;
Destroying;Destroying;dismantlement;100912274;;;;;;;;
Destroying;Destroying;lay waste.v;_;;;;;;;;
Destroying;Destroying;level;201661804;;;;;;;;
Destroying;Destroying;obliterate;200311338;;;;;;;;
Destroying;Destroying;obliteration;100218208;107331013;;;;;;;
Destroying;Destroying;raze;201661804;;;;;;;;
Destroying;Destroying;ruin;200578993;201564144;201566490;202558951;;;;;
Destroying;Destroying;take out;_;;;;;;;;
Destroying;Destroying;unmake;_;;;;;;;;
Destroying;Destroying;vaporize;201325288;;;;;;;;
Distribution;Dispersal;dispersal;100368592;;;;;;;;
Distribution;Dispersal;disperse;202028994;201376245;;;;;;;
Distribution;Dispersal;dispersion;100368592;107331759;;;;;;;
